transactionId,groupe,carteId,dateTransaction,montant,devise,merchant,pays,typeCarte,statut,canal,sourceCompte,destinationCompte
1,1,C705683689,2025-02-26,4838.42,MAD,Uber,US,VISA,PENDING,MOBILE,SC79848367,DC78681775
2,1,C822120113,2025-04-15,605.34,EUR,Netflix,FR,MASTERCARD,PENDING,ATM,SC98040896,DC39611732
3,1,C978556840,2025-04-06,579.21,EUR,Amazon,DE,VISA,PENDING,EN_LIGNE,SC19994156,DC79070246
4,1,C311753482,2025-02-26,2875.32,USD,Uber,DE,MASTERCARD,SUCCES,MOBILE,SC20535004,DC81898429
5,1,C230662692,2025-03-05,50.78,MAD,Carrefour,DE,VISA,SUCCES,MOBILE,SC49503916,DC51032692
6,2,C269145021,2025-04-25,2324.43,USD,Spotify,US,VISA,ECHEC,ATM,SC61242240,DC99440409
7,2,C640543048,2025-03-23,2656.04,USD,Spotify,US,VISA,PENDING,EN_LIGNE,SC13916253,DC22301599
8,2,C537485395,2025-04-23,2098.77,USD,Spotify,DE,VISA,SUCCES,EN_LIGNE,SC48179469,DC31939363
9,2,C924403125,2025-03-18,881.10,USD,Amazon,FR,MASTERCARD,PENDING,MOBILE,SC49346228,DC42399686
10,2,C219559198,2025-04-18,4959.47,EUR,Carrefour,FR,VISA,SUCCES,MOBILE,SC92073607,DC77566594
11,3,C229174186,2025-04-26,803.44,MAD,Carrefour,DE,AMEX,ECHEC,MOBILE,SC90850195,DC90604234
12,3,C539886095,2025-04-09,4803.56,EUR,Amazon,DE,MASTERCARD,ECHEC,ATM,SC98178526,DC64711766
13,3,C402623338,2025-04-25,1538.84,MAD,Uber,DE,VISA,SUCCES,MOBILE,SC78252448,DC20694917
14,3,C239761787,2025-04-09,2642.90,EUR,Netflix,ES,VISA,ECHEC,ATM,SC61358820,DC36223406
15,3,C586885554,2025-03-20,2859.71,USD,Spotify,FR,VISA,SUCCES,ATM,SC58396756,DC65385431
16,4,C842267691,2025-03-02,1714.41,MAD,Amazon,DE,MASTERCARD,SUCCES,ATM,SC98880720,DC59721325
17,4,C157698138,2025-04-22,26.34,MAD,Carrefour,MA,VISA,PENDING,ATM,SC50661716,DC70648072
18,4,C808688085,2025-04-20,2534.77,USD,Spotify,US,MASTERCARD,SUCCES,EN_LIGNE,SC68337175,DC75934872
19,4,C932314519,2025-03-05,4101.67,MAD,Carrefour,DE,AMEX,PENDING,EN_LIGNE,SC41304469,DC30665991
20,4,C888564541,2025-03-17,3214.86,USD,Uber,DE,VISA,PENDING,MOBILE,SC81629234,DC18562332
